Código OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Visada de Heliponto;TIPO_USO;id;categoria;parent_id;name;Label
SDBM;SP0298;Beneficência Portuguesa;SÃO PAULO;São Paulo;Elevado;-23.567778;-46.641389;"23°34'04.0""S";"046°38'29.0""W";848,0;VFR;VFR;28;Quadrado;20 m;4,00;Metálico;;;;;;;;;;Privado;62;3;4;Helipontos;
SDBR;SP0299;REC Berrini;SÃO PAULO;São Paulo;Elevado;-23.608333;-46.694444;"23°36'30.0""S";"046°41'40.0""W";864,0;VFR;VFR;28;Quadrado;24 m;6,00;Concreto;29/11/2022;PA2012-2591;https://pergamum.anac.gov.br/arquivos/PA2012-2591.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDBW;SP0302;Banespa República;SÃO PAULO;São Paulo;Elevado;-23.543611;-46.644444;"23°32'37.0""S";"046°38'40.0""W";816,0;VFR;;16 29;Quadrado;18 m;4,00;Concreto;30/05/2022;PA2012-1074;https://pergamum.anac.gov.br/arquivos/PA2012-1074.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDCP;SP0304;Hotel Sant'Anna;AMPARO;São Paulo;No solo;-22.736944;-46.746944;"22°44'13.0""S";"046°44'49.0""W";793,0;VFR;;16;Quadrado;24 m;6,00;Concreto;24/01/2023;PA2013-1762;https://pergamum.anac.gov.br/arquivos/PA2013-1762.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDCQ;SP0305;Mediterrâneo;COTIA;São Paulo;No solo;-23.593056;-46.852778;"23°35'35.4""S";"046°51'10.9""W";807,0;VFR;VFR;3;Quadrado;20 m;4,00;Concreto;01/10/2023;PA2013-2547;https://pergamum.anac.gov.br/arquivos/PA2013-2547.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDCV;SP0306;Citibank;SÃO PAULO;São Paulo;Elevado;-23.565;-46.653611;"23°33'54.0""S";"046°39'13.0""W";913,0;VFR;VFR;12 27;Quadrado;19,6 m;4,00;Metálico;10/12/2031;PA2021-6569;https://pergamum.anac.gov.br/arquivos/PA2021-6569.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDCY;SP0307;São Paulo Corporate Towers;SÃO PAULO;São Paulo;Elevado;-23.591667;-46.687778;"23°35'30.0""S";"046°41'16.0""W";864,0;VFR;VFR;16;Quadrado;30 m;18,00;Concreto;21/07/2031;PA2021-6550;https://pergamum.anac.gov.br/arquivos/PA2021-6550.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDDG;SP0308;Hospital Samaritano;SÃO PAULO;São Paulo;Elevado;-23.538611;-46.6625;"23°32'19.0""S";"046°39'45.0""W";831,0;VFR;VFR;15;Quadrado;21 m;4,50;Concreto;06/05/2031;PA2021-4887;https://pergamum.anac.gov.br/arquivos/PA2021-4887.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDDH;SP0309;Birmann 29;SÃO PAULO;São Paulo;Elevado;-23.588611;-46.681111;"23°35'19.0""S";"046°40'52.0""W";797,0;VFR;VFR;27;Quadrado;24 m;6,00;Concreto;21/03/2032;PA2022-7537;https://pergamum.anac.gov.br/arquivos/PA2022-7537.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDDS;SP0311;Sucupira;SÃO PAULO;São Paulo;Elevado;-23.624167;-46.703333;"23°37'27.0""S";"046°42'12.0""W";841,0;VFR;VFR;22;Quadrado;26 m;5,00;Concreto;05/09/2028;PA2018-2626;https://pergamum.anac.gov.br/arquivos/PA2018-2626.pdf;;;;;;;Privado;62;3;4;Helipontos;
